title,introdate,avg_out_of_state_score,avg_out_of_state_quintile,party,bill,house_senate,max_score,max_score_quintile,count,uquintile,sponsor,memberID
endoflife decisions; terminally ill,2016-01-14T15:24:39,13.69,1,D,HB2347,House,64,1,31314,1,Sally Ann Gonzales,48
agricultural feed; sales; tax exemption,2016-01-14T15:00:05,7.42,5,R,HB2326,House,40,3,106478,1,Franklin M. Pratt,73
pilot; structured English immersion exemption,2016-01-25T16:07:08,9.98,2,D,SB1304,Senate,40,3,3028,3,Andrea Dalessandro,2
educational certification applicants; process,2016-02-01T13:31:58,10.86,1,R,SB1456,Senate,42.5,2,411,4,Sylvia Allen,6
ADOT; authorized third parties,2016-01-14T10:57:16,9.50,2,R,HB2249,House,35,5,1937,3,Rick Gray,40
health insurance tax; repeal.,2016-01-13T10:14:48,17.77,1,R,SCM1002,Senate,52,2,207,5,Nancy Barto,15
school districts; consolidation; letter grades,2016-01-27T15:33:22,11.13,1,R,SB1376,Senate,40,3,12145,1,Steve Smith,11
appropriation; teacher mentoring,2016-01-26T15:12:05,8.88,3,D,SB1328,Senate,40,3,522,4,Lynne Pancrazi,4
fowl regulations; prohibitions,2016-01-14T17:05:09,7.44,5,R,SB1140,Senate,20,5,112,5,David C. Farnsworth,16
schools; CPR instruction.,2016-01-14T15:49:41,7.66,5,R,SB1137,Senate,40,3,9586,2,Jeff Dial,18
criminal trials; location,2016-01-20T12:34:58,10.63,2,R,SB1214,Senate,56,1,3338,3,Steve Smith,11
job training fund; lottery revenues,2016-01-13T17:31:31,8.96,3,D,HB2232,House,40,3,12276,1,Reginald Bolding Jr.,46
tax exemptions and deductions; sunset,2016-01-19T16:02:03,8.34,4,D,SB1178,Senate,35,5,8548,2,Steve Farley,9
electronic benefit transfers; prohibitions; violations,2016-01-14T11:39:04,8.20,4,R,HB2261,House,48,2,10591,2,Kate Brophy McGee,79
TPT; municipalities; customer refund claims,2016-02-02T16:26:04,9.35,3,R,HB2598,House,55,1,27221,1,Justin Olson,78
rulemaking; electric generating units; opposition,2016-01-29T15:46:00,8.98,3,R,SCM1016,Senate,38,4,2084,3,Gail Griffin,14
technical correction; air pollution; permits,2016-01-28T14:36:16,8.51,4,R,SB1397,Senate,40,3,938,4,Gail Griffin,14
JTED funding reductions; repeal.,2016-01-19T12:16:30,9.07,3,R,HB2508,House,40,3,1205,4,Karen Fann,43
student loans; teachers; appropriation,2016-01-13T12:13:04,6.56,5,R,SB1113,Senate,16,5,59,5,Sylvia Allen,6
Native American veterans; tax refund,2016-01-14T14:58:19,7.18,5,R,HB2323,House,40,3,916,4,Sonny Borrelli,35
schools; instructional materials; review,2016-01-25T16:24:10,7.74,5,R,HB2542,House,40,3,9719,2,Mark Finchem,80
appropriation; K-3 reading intervention,2016-01-26T15:12:32,10.51,2,D,SB1329,Senate,40,3,261,5,Lynne Pancrazi,4
businesses; professions; regulation restrictions,2016-01-20T15:39:11,6.75,5,R,HB2517,House,40,3,1055,4,Warren H. Petersen,69
industries for blind; repeal; successor,2016-01-28T15:08:18,8.66,4,R,SB1411,Senate,44,2,19878,1,Adam Driggs,28
county treasurer; warrants; electronic transfers,2016-01-27T08:57:17,7.59,5,R,SB1348,Senate,40,3,15445,1,Judy Burges,22
biological products; prescription orders,2016-01-14T14:37:35,10.01,2,R,HB2310,House,48,2,5692,2,Regina Cobb,38
disclosure; lobbyists; gifts; public officers,2016-02-04T18:27:12,9.15,3,D,HB2623,House,89.5,1,8032,2,Eric Meyer,42
absence of state elected officials,2016-01-19T11:52:24,8.14,4,R,SB1156,Senate,40,3,169,5,Judy Burges,22
statewide voter registration portability,2016-01-11T12:17:09,12.07,1,D,SB1075,Senate,40,3,10327,2,Martin Quezada,29
pharmacists; scope of practice,2016-01-13T10:14:25,9.37,3,R,SB1112,Senate,52,2,9677,2,Nancy Barto,15
legal tender; taxation; regulation,2016-01-14T16:24:16,10.99,1,R,SB1141,Senate,42.5,2,21733,1,David C. Farnsworth,16
medical marijuana; cultivation; facilities,2016-01-14T16:34:23,12.57,1,R,HB2405,House,61,1,19266,1,Vince Leach,31
exempt transactions; securities registration,2016-01-14T14:33:41,11.29,1,R,HB2303,House,45,2,956,4,Jeff Weninger,88
coast guard auxiliary; recognition,2016-01-27T14:27:57,9.12,3,R,SCR1013,Senate,32.5,5,4690,2,Steve Smith,11
veteran-owned businesses; procurement preference,2015-12-15T14:16:49,7.91,5,D,HB2009,House,35,5,241,5,Mark A. Cardenas,58
sovereign authority; federal actions,2015-12-30T11:21:25,15.31,1,R,HB2024,House,60,1,81,5,Mark Finchem,80
boxing commission; continuation,2016-01-13T14:08:04,8.28,4,R,SB1120,Senate,40,3,1086,4,Kimberly Yee,20
R&D tax credits; conversion; application,2016-02-02T17:41:14,7.58,5,R,HB2601,House,40,3,4325,2,David Livingston,41
state lottery; county assistance fund,2016-01-27T14:28:07,10.54,2,D,SB1370,Senate,40,3,7700,2,Barbara McGuire,8
chicano and latino heritage plates,2016-01-26T10:37:53,9.60,2,D,SB1315,Senate,43,2,1226,4,Catherine Miranda,27
toxic exposure; urging Congress,2016-01-21T16:54:16,9.92,2,D,HCM2006,House,35.5,5,918,4,Richard C. Andrade,76
ASRS; political subdivision entities,2016-01-13T08:29:06,9.01,3,R,HB2157,House,30.5,5,993,4,Michelle B. Ugenti-Rita,87
dental care; treatment; volunteer care,2016-02-08T16:19:47,8.26,4,R,HB2667,House,42.5,2,1465,3,Regina Cobb,38
public buildings; applicable fire codes,2016-01-13T17:34:03,8.50,4,R,HB2233,House,35.5,5,251,5,Paul Boyer,60
metal dealer licensure; local authority,2016-01-14T17:36:40,8.76,3,R,HB2443,House,40,3,732,4,David Livingston,41
schools; correction of budget errors,2016-01-14T13:56:37,8.94,3,R,HB2293,House,40,3,329,5,Paul Boyer,60
homeowners associations; director removal,2016-02-01T16:20:00,13.64,1,R,SB1496,Senate,60,1,20271,1,David C. Farnsworth,16
state bar; rules; first amendment,2016-01-13T16:07:39,7.75,5,R,HCM2002,House,23,5,1024,4,Anthony Kern,64
secondary motor vehicle finance transactions,2016-01-14T16:46:25,12.46,1,D,HB2396,House,44,2,322,5,Debbie McCune Davis,85
corrections department; revolving fund uses,2016-01-21T09:14:36,9.01,3,R,SB1246,Senate,35,5,765,4,Steve Smith,11
motorcycle safety fund; advisory council,2016-01-27T14:24:56,8.42,4,R,SB1359,Senate,40,3,295,5,Bob Worsley,25
peace officer database; disciplinary actions,2016-02-08T09:23:46,9.17,3,D,HB2649,House,40,3,3373,3,Reginald Bolding Jr.,46
lottery; funding; LTAF; restoration,2015-12-11T08:55:46,9.37,3,D,SB1013,Senate,64,1,87421,1,Steve Farley,9
G&F; in-lieu fee; trust fund,2016-01-14T18:03:13,7.92,5,R,HB2465,House,32,5,231,5,Kate Brophy McGee,79
prohibition; photo radar,2016-01-25T16:20:56,11.64,1,R,HB2540,House,64,1,20939,1,Kelly Townsend,53
border security; urging Congress,2016-01-28T15:23:34,8.76,3,R,SCM1012,Senate,52,2,5830,2,Gail Griffin,14
veterans; disability; property tax relief,2016-01-28T15:24:29,8.76,3,R,SCR1018,Senate,28,5,996,4,Gail Griffin,14
foster parent training,2016-01-14T12:14:35,8.70,3,R,HB2270,House,40,3,875,4,John M. Allen,54
capital punishment study committee,2016-01-14T14:27:27,12.00,1,D,SB1127,Senate,49.5,2,553,4,David Bradley,10
foster parents; immunizations; licensure,2016-01-25T16:06:40,8.75,3,D,SB1303,Senate,40,3,478,4,Andrea Dalessandro,2
honoring the Phoenix Thunderbirds,2016-02-01T17:04:58,6.40,5,R,SR1002,Senate,20,5,83,5,Steve Smith,11
securities; salesmen; registration exemptions,2016-01-28T16:02:00,11.25,1,R,SB1425,Senate,45,2,1036,4,David C. Farnsworth,16
technical correction; cease; desist order,2016-01-12T14:23:58,8.12,4,R,HB2143,House,40,3,442,4,Kate Brophy McGee,79
committee of reference; standing committee,2016-01-28T14:03:49,8.80,3,R,SB1382,Senate,48,2,17432,1,Judy Burges,22
first responder special plates,2016-01-14T14:29:05,9.14,3,D,SB1131,Senate,40,3,2724,3,Catherine Miranda,27
charter schools; prohibited locations,2016-01-28T14:27:58,10.10,2,D,SB1394,Senate,40,3,3834,2,Martin Quezada,29
software; budget units; sharing,2016-01-26T16:21:07,6.26,5,R,HB2550,House,19,5,19,5,David W. Stevens,56
jury service; eight-year exemption,2016-01-05T10:44:35,11.61,1,R,SB1039,Senate,56,1,6139,2,John Kavanagh,23
liquor omnibus,2016-01-27T15:24:06,9.74,2,R,SB1373,Senate,31,5,5343,2,John Kavanagh,23
provisional ballots; residence; partial tabulation,2016-01-11T12:17:33,12.50,1,D,SB1076,Senate,48,2,14931,1,Martin Quezada,29
prisoner transition program; eligibility; termination,2016-01-14T12:01:55,8.81,3,R,SB1126,Senate,28,5,802,4,Steve Smith,11
urging Congress; Glass-Steagall Act,2016-01-14T18:21:53,13.76,1,D,HCM2004,House,55,1,886,4,Juan Mendez,62
human fetus; embryo; prohibited actions,2016-02-01T14:28:00,8.77,3,R,SB1474,Senate,36,5,126,5,Nancy Barto,15
unlawful practices; auto glass repair,2016-01-14T17:59:40,13.14,1,R,HB2500,House,60,1,1607,3,David Livingston,41
medical radiologic technology,2016-01-13T10:01:19,8.70,3,R,SB1096,Senate,52,2,17813,1,Nancy Barto,15
appropriation; fairgrounds; preservation; historic buildings,2016-01-14T16:48:41,8.66,4,D,HB2400,House,23,5,70,5,Lela Alston,49
cash assistance; lifetime limit,2016-01-14T15:01:12,7.78,5,D,HB2327,House,43.5,2,4087,2,Randall Friese,45
JTED restoration and reforms.,2016-02-04T18:21:07,8.83,3,R,HB2642,House,36,5,4185,2,Vince Leach,31
national wear red day,2016-01-14T18:19:35,10.79,1,R,HCR2027,House,56,1,889,4,Heather Carter,81
joint select committee on corrections,2016-02-04T18:30:56,7.88,5,D,HB2628,House,44,2,3303,3,Stefanie Mach,89
property; declaration amendment; procedure,2016-01-14T16:11:27,9.27,3,R,HB2382,House,31,5,874,4,Eddie Farnsworth,52
epinephrine auto-injectors,2016-01-14T11:44:14,7.73,5,R,HB2265,House,44,2,28143,1,Regina Cobb,38
food stamp benefits; unlawful use,2016-01-13T10:12:07,8.87,3,R,SB1106,Senate,40,3,126,5,Nancy Barto,15
mobile homes; abandonment procedures,2016-01-14T11:36:47,10.54,2,R,HB2257,House,57.5,1,17531,1,Kate Brophy McGee,79
memorial; urging Congress; technical correction,2016-01-19T17:06:11,12.28,1,R,SCM1005,Senate,47.5,2,1625,3,Gail Griffin,14
tax subtraction; uniformed services pay,2016-01-14T11:36:14,11.62,1,R,HB2256,House,42,2,14183,1,Kate Brophy McGee,79
film and media production; commission,2016-02-05T15:16:03,8.13,4,R,HB2646,House,24,5,100,5,Steve Montenegro,66
independent contractors; criteria,2016-02-08T13:41:42,9.49,3,R,HB2652,House,40,3,2894,3,Jill Norgaard,57
charter schools; special education funding,2016-01-14T13:57:11,8.82,3,R,HB2294,House,40,3,2458,3,Paul Boyer,60
state transportation board; tribal representation,2016-01-14T15:00:27,8.53,4,D,HB2317,House,40,3,758,4,Albert Hale,51
national guard; peace officers; appointment,2016-01-20T12:37:11,9.16,3,R,SB1212,Senate,40,3,13732,1,Steve Smith,11
universities; foreign language proficiency test,2016-01-13T17:30:00,8.64,4,D,HB2227,House,40,3,3688,3,Reginald Bolding Jr.,46
ratification; equal rights amendment,2016-01-14T18:27:39,11.99,1,D,HCR2032,House,60,1,3973,2,Rebecca Rios,75
state board; community colleges,2016-02-04T18:38:37,9.51,2,D,HB2637,House,40,3,12642,1,Macario Saldate,72
domestic violence offenders; firearms; seizure,2016-01-14T14:27:51,9.62,2,D,SB1128,Senate,52,2,35266,1,David Bradley,10
Din� college act; urging Congress,2016-02-01T11:45:50,8.15,4,R,SCM1017,Senate,24,5,924,4,Carlyle Begay,7
Din� college act; urging Congress.,2016-02-02T14:14:40,7.91,5,D,HCM2008,House,20,5,932,4,Albert Hale,51
schools; elections; ballot arguments; exclusion,2016-01-27T10:09:51,9.98,2,R,SB1351,Senate,40,3,48799,1,Debbie Lesko,21
supreme court; reports; website posting,2016-01-14T16:25:32,9.32,3,R,HB2383,House,27.5,5,357,5,Eddie Farnsworth,52
intersection; definition,2016-02-02T16:22:32,14.12,1,R,HB2593,House,64,1,3473,3,J. Christopher Ackerley,32
revisers technical corrections; 2016,2016-01-21T11:25:20,8.09,4,R,SB1251,Senate,41,2,2620,3,Andy Biggs,12
mental health; injunction; firearm possession,2016-02-03T16:12:45,10.31,2,D,HB2611,House,40,3,2391,3,Randall Friese,45
voter identification; VA; student identification,2016-01-11T12:16:45,10.43,2,D,SB1074,Senate,40,3,2002,3,Martin Quezada,29
technical correction; industrial development; insurance,2016-01-11T11:42:05,7.06,5,R,SB1066,Senate,40,3,350,5,Judy Burges,22
appropriation; foreign teachers; work visas,2016-02-08T17:30:23,9.59,2,D,HB2678,House,40,3,343,5,Lisa A. Otondo,82
precinct committeemen; term of office,2016-01-14T17:41:05,10.48,2,R,HB2477,House,40,3,2440,3,Michelle B. Ugenti-Rita,87
mobile home landlord tenant; amendments,2016-01-14T11:54:06,9.45,3,R,HB2258,House,61.5,1,11120,1,Kate Brophy McGee,79
Latina-owned businesses; support,2016-01-14T18:19:01,6.30,5,D,HCR2026,House,35,5,757,4,Ceci Velasquez,74
ABOR; terms,2016-01-14T17:42:14,10.80,1,R,HB2479,House,40,3,1451,3,Warren H. Petersen,69
judicial elections; term; requirements,2016-02-01T13:12:40,6.77,5,R,SB1453,Senate,28,5,2841,3,Don Shooter,13
noncertificated school employees; due process,2016-02-04T18:35:38,8.63,4,D,HB2633,House,40,3,860,4,Lela Alston,49
debt limitations; net assessed value,2016-01-06T16:29:14,8.93,3,R,HB2054,House,40,3,1556,3,Darin Mitchell,37
climate change; study committee,2016-02-08T17:34:29,10.47,2,D,HB2684,House,44,2,1817,3,Celeste Plumlee,92
pharmacy board; manufacturers; dietary supplements,2016-02-01T14:04:00,9.82,2,R,SB1460,Senate,56,1,8086,2,Bob Worsley,25
fire districts; vacancies; board operations,2016-01-13T15:40:01,10.69,1,R,HB2198,House,40,3,7709,2,Doug Coleman,55
omnibus education,2016-01-13T14:14:10,8.06,4,R,HB2189,House,40,3,1343,3,Paul Boyer,60
national popular vote; interstate agreement..,2016-01-20T14:21:21,29.89,1,R,SB1218,Senate,64,1,10991,1,Don Shooter,13
technical correction; power authority; monies,2016-01-15T11:26:54,7.71,5,R,SB1149,Senate,40,3,35,5,Steve Pierce,1
trade names; trademarks; application,2016-01-28T14:38:07,10.99,1,R,SB1401,Senate,66,1,1102,4,Gail Griffin,14
aggressive solicitation; approaching stopped vehicle,2016-01-25T12:19:56,7.63,5,R,SB1285,Senate,28,5,389,4,John Kavanagh,23
abortion; religious employers; contraception; repeal,2016-01-28T14:56:18,6.62,5,D,SB1407,Senate,24,5,4911,2,Katie Hobbs,24
electronic legal material.,2016-01-28T15:09:44,20.52,1,R,SB1414,Senate,56,1,4295,2,Adam Driggs,28
schools; personally identifiable information; prohibition,2016-01-06T10:34:11,8.87,3,R,HB2044,House,56,1,5685,2,Mark Finchem,80
department of education; technology; reports,2016-01-14T17:14:47,8.10,4,R,HB2437,House,24,5,561,4,David W. Stevens,56
temporary services employer; employees; rights,2016-01-14T13:22:53,10.43,2,D,HB2272,House,52,2,846,4,Juan Mendez,62
STO credit cap; growth trigger,2016-01-13T16:09:15,11.06,1,D,HB2211,House,47,2,4698,2,Randall Friese,45
class six property; elderly homeowners.,2016-01-14T14:00:01,9.12,3,D,HB2299,House,40,3,1585,3,Mark A. Cardenas,58
schools; Arizona online instruction,2016-01-21T16:52:47,8.61,4,R,HB2530,House,40,3,12553,1,Vince Leach,31
resilient federal forests act,2016-01-25T17:28:04,9.33,3,R,SCM1011,Senate,43,2,4236,2,Gail Griffin,14
restitution; pawnbrokers; dealers; technical correction,2016-01-14T16:12:00,8.03,4,R,HB2378,House,35,5,256,5,Eddie Farnsworth,52
railroads; crew requirements,2016-02-01T15:51:47,7.33,5,D,HB2577,House,40,3,265,5,Richard C. Andrade,76
schools; corporal punishment,2016-01-28T14:34:26,11.70,1,D,SB1405,Senate,55,1,1496,3,Katie Hobbs,24
municipal population estimates; use,2016-01-14T17:56:05,10.44,2,R,HB2483,House,40,3,13993,1,Justin Olson,78
lifespan respite care; program termination,2016-01-14T18:14:01,7.60,5,R,HB2461,House,40,3,350,5,Kate Brophy McGee,79
civil traffic violations; alternative service,2016-02-02T14:55:30,8.43,4,R,HB2591,House,40,3,257,5,Michelle B. Ugenti-Rita,87
technical correction; guardians,2016-01-13T10:03:13,11.52,1,R,SB1101,Senate,44,2,273,5,Nancy Barto,15
mental health services; information disclosure,2016-02-02T16:36:59,9.10,3,R,SB1442,Senate,40,3,15002,1,Nancy Barto,15
initiatives; referendums; signature requirements; counties,2016-02-03T15:13:09,10.96,1,R,HCR2047,House,48,2,15138,1,Bob Thorpe,70
presidential preference election; appropriation; repeal.,2016-01-29T08:25:51,8.23,4,R,HB2567,House,40,3,12581,1,David M. Gowan Sr.,50
sex education programs; requirements,2015-12-17T14:52:02,9.42,3,D,SB1020,Senate,56,1,1778,3,Andrew C. Sherwood,91
tobacco master settlement; sales data,2016-02-02T16:23:14,11.90,1,R,HB2594,House,86,1,40079,1,Darin Mitchell,37
independent expenditures; corporations; funding disclosure,2016-01-11T10:49:21,8.91,3,D,HB2095,House,40,3,12451,1,Ken Clark,63
salvia divinorum; unlawful acts; defense,2016-01-13T15:37:46,7.63,5,D,HB2204,House,40,3,445,4,Eric Meyer,42
emergency placements; criminal background checks,2016-01-25T14:19:31,10.09,2,R,SB1292,Senate,60,1,1134,4,Carlyle Begay,7
property; diminution; compensation; federal law,2016-02-01T15:47:24,11.10,1,R,HB2571,House,38,4,74,5,Kelly Townsend,53
state agencies; preapplication authorization; limitations,2016-01-14T17:58:17,8.34,4,R,HB2487,House,21.5,5,332,5,Russell Bowers,90
day of remembrance; murder victims,2016-01-11T15:51:30,8.95,3,R,HCR2008,House,28.5,5,225,5,Paul Boyer,60
condominiums; exterior changes; approval,2016-01-19T14:17:09,19.38,1,R,HB2513,House,56,1,716,4,Tony Rivero,61
opioid antagonists; prescription; dispensing; administration,2016-01-14T15:18:38,7.72,5,R,HB2355,House,44,2,28441,1,Heather Carter,81
endoflife decisions; terminally ill,2016-01-21T11:35:59,14.51,1,D,HCR2038,House,64,1,29257,1,Stefanie Mach,89
bonds; disclosure; notice,2016-01-14T16:46:02,7.78,5,R,HB2402,House,28,5,978,4,Vince Leach,31
respiratory care examiners,2016-01-25T14:23:12,9.61,2,R,SB1300,Senate,54,1,29176,1,Nancy Barto,15
spouses; married couples; terminology,2016-01-28T15:02:03,8.48,4,D,SB1409,Senate,60,1,192769,1,Katie Hobbs,24
regionally accredited institutions; special plates,2016-01-13T15:37:08,8.00,4,D,HB2193,House,40,3,24396,1,Jonathan R. Larkin,83
mining and mineral museum; transfer,2016-01-29T16:46:00,8.53,4,R,SB1440,Senate,30.5,5,2085,3,Gail Griffin,14
sporting event tax revenue; tourism,2016-01-14T17:56:45,6.95,5,R,HB2495,House,28,5,7985,2,David Livingston,41
natural resource conservation division; appropriation,2016-01-27T14:28:35,6.76,5,D,SB1371,Senate,35,5,1299,4,Barbara McGuire,8
schools; class size reduction grants,2015-12-11T15:26:47,9.76,2,D,SB1015,Senate,40,3,5814,2,Andrew C. Sherwood,91
annexation; single property owner; exception,2016-01-08T14:48:48,10.56,2,R,HB2076,House,51,2,18712,1,Jeff Weninger,88
STOs; administrative cost allocation,2016-01-13T15:40:37,9.66,2,D,HB2209,House,52,2,18267,1,Randall Friese,45
dams; affidavit; recording,2016-01-28T14:37:11,9.72,2,R,SB1399,Senate,64,1,746,4,Gail Griffin,14
fiduciary access to digital assets,2016-01-14T18:04:22,12.45,1,R,HB2467,House,64,1,20479,1,Kate Brophy McGee,79
tax lien deeds; aggregate fees,2016-01-14T16:33:17,8.33,4,R,HB2403,House,24,5,280,5,Vince Leach,31
child removal; uniform criteria,2016-01-14T17:19:06,8.95,3,R,HB2427,House,40,3,2958,3,Kelly Townsend,53
health care services; patient education,2016-01-29T16:50:00,9.51,2,R,SB1445,Senate,55,1,4165,2,Nancy Barto,15
military service; postsecondary academic credit,2016-01-21T15:57:20,8.62,4,R,SB1267,Senate,28,5,119,5,Steve Smith,11
prohibited money transfers; information sharing,2016-01-13T17:00:12,8.65,4,R,HB2223,House,40,3,2892,3,Jay Lawrence,71
medical assistance requests; evidence; mitigation,2016-01-11T09:09:59,12.61,1,D,HB2089,House,60,1,1362,3,Randall Friese,45
manufacturers; nondefective firearms; civil liability,2016-01-27T11:51:30,9.09,3,R,SB1354,Senate,35,5,73,5,Jeff Dial,18
underground facility; damage; notice,2016-01-19T14:19:59,10.06,2,R,SB1163,Senate,40,3,452,4,John Kavanagh,23
personal care products; plastic microbeads,2016-01-21T16:51:18,13.44,1,D,HB2528,House,56,1,2599,3,Juan Mendez,62
confidential data; criminal records check,2015-12-09T16:13:27,9.36,3,R,SB1009,Senate,52,2,1252,4,John Kavanagh,23
independent redistricting commission; elected membership,2016-01-11T16:25:17,11.14,1,R,HCR2009,House,60,1,6028,2,Warren H. Petersen,69
federal office; online signature collection,2016-01-06T10:58:38,8.88,3,R,HB2050,House,40,3,1273,4,David W. Stevens,56
sex offender registration; petition; termination,2016-01-25T15:45:42,11.31,1,R,HB2539,House,40,3,606,4,Russell Bowers,90
small property tax balance delinquency,2016-01-19T11:52:47,8.10,4,R,SB1157,Senate,40,3,407,4,Judy Burges,22
department of forestry,2016-01-19T16:53:01,7.98,4,R,SB1189,Senate,40,3,8397,2,Gail Griffin,14
boards; commissions; compensation; expenses,2016-01-28T15:32:00,8.98,3,R,SB1421,Senate,44,2,3934,2,Kimberly Yee,20
county boundary change; study committee,2016-01-06T10:31:55,9.31,3,R,HB2040,House,31,5,89,5,Mark Finchem,80
failure to appear; arrest; fingerprinting,2016-01-12T17:16:48,7.90,5,R,HB2154,House,40,3,1861,3,Sonny Borrelli,35
paternity; preliminary injunction,2016-01-25T14:21:49,8.82,3,R,SB1297,Senate,40,3,3216,3,Adam Driggs,28
JTEDs; base support; ninth graders,2016-01-19T15:48:10,7.96,4,D,SB1170,Senate,36,5,810,4,Steve Farley,9
community colleges; athletic facilities fees,2016-01-14T13:57:44,7.83,5,R,HB2295,House,35,5,560,4,Paul Boyer,60
technical correction; traffic violations,2016-02-01T17:03:07,8.29,4,R,SB1521,Senate,40,3,379,5,Steve Smith,11
Robert Levinson; release from Iran,2016-02-08T14:35:54,9.19,3,R,HCM2010,House,48,2,853,4,John M. Allen,54
study; state board; community colleges,2016-02-04T18:39:21,9.74,2,D,HB2638,House,40,3,2046,3,Macario Saldate,72
school pupils; concussions; reporting,2016-01-13T17:30:56,7.93,5,D,HB2231,House,40,3,14032,1,Reginald Bolding Jr.,46
income tax; college tuition deduction,2016-01-20T13:47:35,11.15,1,D,SB1215,Senate,40,3,3287,3,David Bradley,10
ASRS; board delegation; benefit determinations,2016-01-04T17:01:54,8.40,4,R,SB1037,Senate,40,3,338,5,Debbie Lesko,21
sentencing; aggravating factor; texting,2016-01-27T09:05:44,9.82,2,D,SB1349,Senate,40,3,14672,1,Steve Farley,9
transfer of public lands; compact,2016-02-04T19:11:16,10.62,2,R,HB2644,House,68,1,12487,1,Brenda Barton,84
local financial disclosure; electronic filings,2016-01-14T17:19:59,11.47,1,R,HB2429,House,60,1,6830,2,David W. Stevens,56
automated traffic safety devices,2016-01-14T16:02:22,10.61,2,R,HB2366,House,64,1,54977,1,Bob Thorpe,70
appropriation; information technology; education; certification,2016-01-21T09:14:08,7.24,5,R,SB1245,Senate,40,3,112,5,Sylvia Allen,6
abortion; parental consent; exception,2016-01-14T13:24:03,11.29,1,D,HB2274,House,56,1,10560,2,Juan Mendez,62
uninsured and underinsured motorist coverage,2016-01-12T11:30:44,11.02,1,R,HB2129,House,48,2,17907,1,Karen Fann,43
homeowners associations; cumulative voting; prohibition,2016-02-08T13:49:58,15.24,1,D,HB2656,House,64,1,2979,3,Ken Clark,63
radiologic technology; out-of-state licensed practitioners,2016-01-13T17:28:53,10.30,2,R,HB2225,House,43.5,2,3056,3,Jay Lawrence,71
regents; designees,2016-01-14T17:14:14,10.78,1,R,HB2436,House,40,3,1461,3,David W. Stevens,56
death penalty; repeal,2016-01-14T14:28:17,7.91,5,D,SB1129,Senate,55,1,81016,1,David Bradley,10
municipalities; property sale threshold; election,2016-01-12T15:41:03,7.73,5,R,HB2146,House,40,3,109,5,Vince Leach,31
income tax credit; historic preservation,2016-02-04T12:06:59,10.73,1,D,HB2619,House,52,2,20740,1,Lisa A. Otondo,82
election of judges; terms,2016-01-14T18:20:11,10.16,2,R,HCR2028,House,60,1,9901,2,Mark Finchem,80
schools; safe-to-tell program,2016-01-14T14:57:45,13.69,1,D,HB2322,House,64,1,52,5,Eric Meyer,42
voter registration records; ADOT records,2016-01-06T10:57:32,7.73,5,R,HB2048,House,40,3,22,5,David W. Stevens,56
optional individual flat income tax,2015-12-30T09:45:28,10.13,2,R,HB2018,House,44,2,44115,1,David W. Stevens,56
ports of entry; additional personnel,2016-01-21T09:05:47,8.72,3,R,SCM1006,Senate,24.5,5,446,4,Gail Griffin,14
community facilities districts; formation; governance,2016-01-29T08:26:35,9.29,3,R,HB2568,House,60,1,16714,1,David M. Gowan Sr.,50
justification; deadly physical force; exceptions,2016-01-14T14:06:24,8.24,4,D,HB2279,House,35,5,757,4,Juan Mendez,62
signs; early voting; removal,2015-12-30T09:44:54,8.97,3,R,HB2017,House,40,3,2588,3,David W. Stevens,56
corporate tax freeze; educational outcomes,2016-01-14T17:14:38,7.44,5,D,HB2423,House,40,3,64,5,Juan Mendez,62
proposition 105; legislative authority,2016-01-14T18:17:16,10.83,1,R,HCR2023,House,50,2,15531,1,Bob Thorpe,70
animal cruelty; classification,2016-01-25T11:12:28,8.90,3,R,SB1281,Senate,40,3,1600,3,John Kavanagh,23
vexatious litigants; workers compensation,2016-01-26T14:44:45,8.47,4,R,SB1323,Senate,40,3,4312,2,Kimberly Yee,20
appropriation; school solutions teams,2016-01-26T12:07:38,8.80,3,D,SB1319,Senate,28,5,15,5,Steve Farley,9
sexual assault victim advocates; privilege,2016-01-28T15:04:18,7.68,5,D,SB1410,Senate,40,3,798,4,Katie Hobbs,24
forfeiture; criminal conviction; procedures; remedies,2016-01-14T16:04:09,7.47,5,R,HB2369,House,40,3,83643,1,Bob Thorpe,70
employment and labor omnibus,2016-01-29T14:21:00,8.81,3,D,SB1436,Senate,52,2,5681,2,Katie Hobbs,24
adoption; married couple; preference.,2016-01-14T16:30:44,8.35,4,D,HB2392,House,40,3,98,5,Ceci Velasquez,74
body of water; aggregate mining,2016-01-21T09:29:33,9.03,3,R,SB1248,Senate,40,3,3339,3,Don Shooter,13
personal identifiable information,2016-01-14T17:15:20,10.72,1,R,HB2438,House,52,2,10979,1,David W. Stevens,56
finance review; task force,2016-02-01T13:17:17,10.85,1,D,SB1454,Senate,48,2,6085,2,Katie Hobbs,24
election procedures; workers; precincts; provisionals,2015-12-29T11:48:39,9.26,3,D,SB1032,Senate,35,5,9477,2,Martin Quezada,29
attorney general; initiation of action,2016-01-21T09:04:23,8.19,4,R,SB1242,Senate,40,3,580,4,Gail Griffin,14
regional transportation authority; amendments,2016-01-12T15:41:37,7.92,5,R,HB2147,House,40,3,6370,2,Vince Leach,31
homeowners associations; board conflicts,2016-02-01T16:20:00,12.70,1,R,SB1497,Senate,60,1,12823,1,David C. Farnsworth,16
motor fuel taxes,2016-01-26T10:04:19,8.59,4,D,SB1312,Senate,52,2,22522,1,Steve Farley,9
